"V1","V2","V3","V4","V5"
"19890705",1200,-1800,8.5,"YSI"
"19890705",1200,-1700,8.7,"YSI"
"19890705",1200,-1600,8.8,"YSI"
"19890705",1200,-1500,9.1,"YSI"
"19890705",1200,-1400,9.5,"YSI"
"19890705",1200,-1300,10.3,"YSI"
"19890705",1200,-1200,11,"YSI"
"19890705",1200,-1100,11.9,"YSI"
"19890705",1200,-1000,13,"YSI"
"19890705",1200,-900,14,"YSI"
"19890705",1200,-800,14.9,"YSI"
"19890705",1200,-700,16.8,"YSI"
"19890705",1200,-600,19.3,"YSI"
"19890705",1200,-500,21.4,"YSI"
"19890705",1200,-400,22.4,"YSI"
"19890705",1200,-300,22.6,"YSI"
"19890705",1200,-200,22.6,"YSI"
"19890705",1200,-100,22.6,"YSI"
"19890705",1200,0,22.6,"YSI"
"19890717",1200,-2200,8.1,"YSI"
"19890717",1200,-2100,8.2,"YSI"
"19890717",1200,-2000,8.2,"YSI"
"19890717",1200,-1900,8.4,"YSI"
"19890717",1200,-1800,8.6,"YSI"
"19890717",1200,-1700,9.1,"YSI"
"19890717",1200,-1600,9.4,"YSI"
"19890717",1200,-1500,9.8,"YSI"
"19890717",1200,-1400,10.2,"YSI"
"19890717",1200,-1300,10.7,"YSI"
"19890717",1200,-1200,11.5,"YSI"
"19890717",1200,-1100,12.6,"YSI"
"19890717",1200,-1000,13.9,"YSI"
"19890717",1200,-900,15.4,"YSI"
"19890717",1200,-800,17,"YSI"
"19890717",1200,-700,19.2,"YSI"
"19890717",1200,-600,22,"YSI"
"19890717",1200,-500,22,"YSI"
"19890717",1200,-400,22,"YSI"
"19890717",1200,-300,22,"YSI"
"19890717",1200,-200,22,"YSI"
"19890717",1200,-100,22,"YSI"
"19890717",1200,0,22,"YSI"
"19890801",1200,-2200,8.3,"YSI"
"19890801",1200,-2100,8.4,"YSI"
"19890801",1200,-2000,8.5,"YSI"
"19890801",1200,-1900,8.7,"YSI"
"19890801",1200,-1800,8.9,"YSI"
"19890801",1200,-1700,9.3,"YSI"
"19890801",1200,-1600,9.7,"YSI"
"19890801",1200,-1500,10.2,"YSI"
"19890801",1200,-1400,10.7,"YSI"
"19890801",1200,-1300,11.4,"YSI"
"19890801",1200,-1200,12.3,"YSI"
"19890801",1200,-1100,13.4,"YSI"
"19890801",1200,-1000,15,"YSI"
"19890801",1200,-900,16.8,"YSI"
"19890801",1200,-800,19.8,"YSI"
"19890801",1200,-700,22.5,"YSI"
"19890801",1200,-600,22.7,"YSI"
"19890801",1200,-500,22.7,"YSI"
"19890801",1200,-400,22.7,"YSI"
"19890801",1200,-300,22.7,"YSI"
"19890801",1200,-200,22.7,"YSI"
"19890801",1200,-100,22.7,"YSI"
"19890801",1200,0,22.7,"YSI"
"19890815",1200,-2200,8.4,"YSI"
"19890815",1200,-2100,8.5,"YSI"
"19890815",1200,-2000,8.6,"YSI"
"19890815",1200,-1900,8.8,"YSI"
"19890815",1200,-1800,9.1,"YSI"
"19890815",1200,-1700,9.5,"YSI"
"19890815",1200,-1600,9.8,"YSI"
"19890815",1200,-1500,10.3,"YSI"
"19890815",1200,-1400,11.1,"YSI"
